KISS,NSamp,grid_size,num_particles,time,steps,mean_ll,ll_of_mean_f,loss
1,21544,128,128,126,1000,0.13495040763234542,0.5624521328444114,-45.568424224853516
1,21544,256,128,219,1000,0.10104255662104299,0.5858646113767174,-91.04010009765625
1,21544,256,128,244,1100,0.13101498858440866,0.5943737235425176,-95.52011108398438
1,21544,256,128,222,1000,0.13956433001212634,0.584387619522837,-91.22476196289062
1,21544,256,128,218,1000,0.17722907280594366,0.5930596432011233,-90.81242370605469
1,21544,512,128,392,1200,0.21507370272755755,0.609617599447642,-142.74569702148438
1,21544,512,128,353,1100,0.15609491902835476,0.612685947581113,-140.17401123046875
1,21544,512,128,390,1200,0.18234039884582134,0.6137801381765224,-146.14605712890625
1,21544,512,128,316,1000,0.08744039156602476,0.6026473528737699,-135.37677001953125
1,21544,512,128,346,1100,0.10965542628603091,0.5997018003127321,-132.05014038085938
1,46416,64,128,271,1000,0.14806521920983604,0.5443461962873793,-21.04174041748047
1,46416,64,128,292,1100,0.15584347766664514,0.5528986502499138,-22.370838165283203
1,46416,64,128,266,1000,0.012537289882108943,0.5418308577591778,-21.156600952148438
1,46416,64,128,266,1000,0.1744063915527512,0.5490952405959152,-21.425336837768555
1,46416,64,128,269,1000,0.11421911061447022,0.5469719914065193,-21.89716148376465
1,46416,128,128,238,1000,0.11770376358637108,0.576759966929507,-49.78919219970703
1,46416,128,128,238,1000,0.13028282315432718,0.5722147939288177,-48.73691177368164
1,46416,128,128,238,1000,0.19268049827241684,0.5770788393280334,-48.937164306640625
1,46416,128,128,238,1000,0.06454558242645317,0.567479761827818,-47.259403228759766
1,46416,128,128,261,1100,0.12344288817770273,0.5736131954094493,-47.81199645996094
1,46416,256,128,363,1100,0.17948480689579024,0.5891679239782618,-93.35330200195312
1,46416,256,128,328,1000,0.1799755918285182,0.5896092033188987,-93.94863891601562
1,46416,256,128,329,1000,0.12151236995998148,0.5828661755913909,-90.60623168945312
1,46416,256,128,328,1000,0.08801277946990262,0.5821539514930196,-92.48245239257812
1,46416,256,128,363,1100,0.16262861565448875,0.5946212815893226,-93.86123657226562
1,46416,512,128,427,1000,0.1487254866317649,0.6055689393878189,-141.39154052734375
1,46416,512,128,513,1200,0.11803728989262861,0.6160021429841003,-142.5404052734375
1,46416,512,128,470,1100,0.12971680150365714,0.6037008133644648,-139.11224365234375
1,46416,512,128,515,1200,0.10157344046234057,0.6144849533296708,-147.22674560546875
1,46416,512,128,471,1100,-0.03769074748689164,0.6022216628560195,-137.945556640625
